iteration,learning_rate,success,test,db,tag
58,0.5,88.08367834383546,test,flue,shuffle
59,0.5,88.00819617713105,train,flue,shuffle
59,0.5,88.15002623724743,test,flue,shuffle
60,0.5,88.07103913040743,train,flue,shuffle
60,0.5,88.21459585652998,test,flue,shuffle
61,0.5,88.13245528486931,train,flue,shuffle
61,0.5,88.2775823833424,test,flue,shuffle
62,0.5,88.19259938228323,train,flue,shuffle
62,0.5,88.33917390188346,test,flue,shuffle
63,0.5,88.25160084682447,train,flue,shuffle
63,0.5,88.39954954306364,test,flue,shuffle
64,0.5,88.30955855392627,train,flue,shuffle
64,0.5,88.45887355779458,test,flue,shuffle
65,0.5,88.36653569086772,train,flue,shuffle
65,0.5,88.51728541998365,test,flue,shuffle
66,0.5,88.42255821193959,train,flue,shuffle
66,0.5,88.57488859885403,test,flue,shuffle
67,0.5,88.47762030196901,train,flue,shuffle
67,0.5,88.63174302804376,test,flue,shuffle
68,0.5,88.53169740037163,train,flue,shuffle
68,0.5,88.68786601427345,test,flue,shuffle
69,0.5,88.58476296552736,train,flue,shuffle
69,0.5,88.74324240754756,test,flue,shuffle
70,0.5,88.63680279842345,train,flue,shuffle
70,0.5,88.79784001517935,test,flue,shuffle
71,0.5,88.68782250153147,train,flue,shuffle
71,0.5,88.85162439696637,test,flue,shuffle
72,0.5,88.73784771770107,train,flue,shuffle
72,0.5,88.90456908750892,test,flue,shuffle
73,0.5,88.78691979004668,train,flue,shuffle
73,0.5,88.95666046252414,test,flue,shuffle
74,0.5,88.83508998985536,train,flue,shuffle
74,0.5,89.00789852581158,test,flue,shuffle
75,0.5,88.88241437479591,train,flue,shuffle
75,0.5,89.05829538327131,test,flue,shuffle
76,0.5,88.92895004864268,train,flue,shuffle
76,0.5,89.107872780578,test,flue,shuffle
77,0.5,88.97475277863424,train,flue,shuffle
77,0.5,89.15665950632236,test,flue,shuffle
78,0.5,89.01987560985629,train,flue,shuffle
78,0.5,89.20468902035698,test,flue,shuffle
79,0.5,89.06436809021189,train,flue,shuffle
79,0.5,89.25199740898633,test,flue,shuffle
80,0.5,89.10827580675917,train,flue,shuffle
80,0.5,89.29862164895383,test,flue,shuffle
81,0.5,89.15164004275515,train,flue,shuffle
81,0.5,89.34459812708728,test,flue,shuffle
82,0.5,89.19449746356955,train,flue,shuffle
82,0.5,89.38996137515254,test,flue,shuffle
83,0.5,89.23687982499182,train,flue,shuffle
83,0.5,89.43474301903186,test,flue,shuffle
84,0.5,89.27881377132671,train,flue,shuffle
84,0.5,89.47897099461714,test,flue,shuffle
85,0.5,89.3203208489056,train,flue,shuffle
85,0.5,89.52266913567432,test,flue,shuffle
86,0.5,89.36141788777583,train,flue,shuffle
86,0.5,89.56585726997677,test,flue,shuffle
87,0.5,89.40211787607693,train,flue,shuffle
87,0.5,89.60855194034825,test,flue,shuffle
88,0.5,89.44243134842536,train,flue,shuffle
88,0.5,89.65076777162018,test,flue,shuffle
89,0.5,89.48236814025503,train,flue,shuffle
89,0.5,89.69251933385739,test,flue,shuffle
90,0.5,89.52193918094869,train,flue,shuffle
